"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","NB_VOTANTS","NB_BLANCS_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03"
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,101,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1053,1053,492,24,468,11,3,"TIAN Dominique",172,"MENNUCCI Patrick",246,"DEMEESTER Dominique",50
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,102,1,1,4,"BELSUNCE","E MAT HOTEL DES POSTES","2 PCE DE L'HOTEL DES POSTES",680,680,373,16,357,12,3,"TIAN Dominique",173,"MENNUCCI Patrick",154,"DEMEESTER Dominique",30
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,104,1,1,4,"BELSUNCE","E MAT PARMENTIER","7 RUE PARMENTIER",793,793,392,8,384,3,3,"TIAN Dominique",131,"MENNUCCI Patrick",239,"DEMEESTER Dominique",14
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,121,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1068,1068,562,20,542,22,3,"TIAN Dominique",204,"MENNUCCI Patrick",270,"DEMEESTER Dominique",68
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,122,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1282,1282,628,21,607,19,3,"TIAN Dominique",190,"MENNUCCI Patrick",354,"DEMEESTER Dominique",63
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,125,1,1,4,"BELSUNCE","E ELEM PAIX","56 RUE DE LA PAIX MARCEL PAUL",803,803,469,19,450,17,3,"TIAN Dominique",206,"MENNUCCI Patrick",196,"DEMEESTER Dominique",48
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,126,1,1,4,"BELSUNCE","CENTRE D'ANIMATION SENAC","6 - 8 RUE SENAC",920,920,510,27,483,24,3,"TIAN Dominique",131,"MENNUCCI Patrick",313,"DEMEESTER Dominique",39
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,127,1,1,4,"BELSUNCE","E MAT SAINT VINCENT DE PAUL","12 RUE BARTHELEMY",861,861,474,18,456,19,3,"TIAN Dominique",103,"MENNUCCI Patrick",302,"DEMEESTER Dominique",51
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,128,1,1,4,"BELSUNCE","E MAT SAINT VINCENT DE PAUL","12 RUE BARTHELEMY",1016,1016,594,19,575,10,3,"TIAN Dominique",161,"MENNUCCI Patrick",367,"DEMEESTER Dominique",47
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,141,1,1,4,"GRANDS CARMES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",830,830,418,16,402,2,3,"TIAN Dominique",136,"MENNUCCI Patrick",235,"DEMEESTER Dominique",31
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,142,1,1,4,"GRANDS CARMES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",887,887,483,22,461,8,3,"TIAN Dominique",154,"MENNUCCI Patrick",277,"DEMEESTER Dominique",30
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,181,1,1,4,"CINQ AVENUES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",1269,1269,649,27,622,20,3,"TIAN Dominique",216,"MENNUCCI Patrick",355,"DEMEESTER Dominique",51
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,182,1,1,4,"CINQ AVENUES","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",837,837,499,16,483,25,3,"TIAN Dominique",157,"MENNUCCI Patrick",280,"DEMEESTER Dominique",46
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,183,1,1,4,"CINQ AVENUES","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",1232,1232,708,22,686,22,3,"TIAN Dominique",209,"MENNUCCI Patrick",384,"DEMEESTER Dominique",93
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,184,1,1,4,"CINQ AVENUES","E ELEM ABEILLES","ENTREE 11 RUE DES ABEILLES",1228,1228,654,24,630,18,3,"TIAN Dominique",179,"MENNUCCI Patrick",373,"DEMEESTER Dominique",78
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,186,1,1,4,"CINQ AVENUES","E ELEM ABEILLES","ENTREE 11 RUE DES ABEILLES",1335,1335,780,33,747,29,3,"TIAN Dominique",225,"MENNUCCI Patrick",432,"DEMEESTER Dominique",90
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,187,1,1,4,"CINQ AVENUES","E MAT CONSOLAT","160 RUE CONSOLAT",1318,1318,779,39,740,17,3,"TIAN Dominique",253,"MENNUCCI Patrick",370,"DEMEESTER Dominique",117
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,188,1,1,4,"CINQ AVENUES","E ELEM LEVERRIER","8 PCE LEVERRIER",1316,1316,810,35,775,17,3,"TIAN Dominique",276,"MENNUCCI Patrick",347,"DEMEESTER Dominique",152
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,201,2,2,4,"GRANDS CARMES","SALLE BARGEMON  HOTEL DE VILLE","PCE VILLENEUVE BARGEMON",829,829,514,30,484,11,3,"BIAGGI Solange",272,"CASELLI Eugène",133,"MARTI  Jeanne",79
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,202,2,2,4,"GRANDS CARMES","CENTRE D'ANIMATION ET LOISIRS","13 RUE DES MARTEGALES",704,704,475,10,465,24,3,"BIAGGI Solange",282,"CASELLI Eugène",98,"MARTI  Jeanne",85
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,204,2,2,4,"GRANDS CARMES","HOTEL DE VILLE PAVILLON DAVIEL","PCE DU MAZEAU",702,702,443,17,426,21,3,"BIAGGI Solange",198,"CASELLI Eugène",156,"MARTI  Jeanne",72
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,231,2,2,4,"GRANDS CARMES","E MAT MOULINS","1 RUE DES MUETTES",711,711,382,21,361,12,3,"BIAGGI Solange",143,"CASELLI Eugène",173,"MARTI  Jeanne",45
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,233,2,2,4,"GRANDS CARMES","E ELEM MAJOR","41A  RUE DE L'EVECHE",969,969,602,30,572,13,3,"BIAGGI Solange",303,"CASELLI Eugène",181,"MARTI  Jeanne",88
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,235,2,2,4,"GRANDS CARMES","E ELEM MAJOR","41A  RUE DE L'EVECHE",1022,1022,519,10,509,14,3,"BIAGGI Solange",274,"CASELLI Eugène",161,"MARTI  Jeanne",74
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,237,2,2,4,"GRANDS CARMES","E MAT FRANCOIS MOISSON","26 RUE FRANCOIS MOISSON",378,378,221,8,213,5,3,"BIAGGI Solange",114,"CASELLI Eugène",71,"MARTI  Jeanne",28
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,238,2,2,4,"GRANDS CARMES","E MAT FRANCOIS MOISSON","26 RUE FRANCOIS MOISSON",950,950,512,19,493,12,3,"BIAGGI Solange",217,"CASELLI Eugène",216,"MARTI  Jeanne",60
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,251,2,2,4,"GRANDS CARMES","E MAT DAMES","6 RUE DU TERRAS",921,921,390,16,374,7,3,"BIAGGI Solange",182,"CASELLI Eugène",146,"MARTI  Jeanne",46
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,252,2,2,4,"GRANDS CARMES","E MAT DAMES","6 RUE DU TERRAS",1362,1362,711,33,678,15,3,"BIAGGI Solange",312,"CASELLI Eugène",247,"MARTI  Jeanne",119
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,253,2,2,4,"GRANDS CARMES","E MAT VINCENT LEBLANC","36 RUE VINCENT LEBLANC",972,972,485,20,465,2,3,"BIAGGI Solange",248,"CASELLI Eugène",151,"MARTI  Jeanne",66
"ELECTIONS MUNICIPALES 2014",2,2014-03-30,"MARSEILLE",21130055300016,254,2,2,4,"GRANDS CARMES","E ELEM VINCENT LEBLANC","32 RUE VINCENT LEBLANC",1066,1066,579,32,547,13,3,"BIAGGI Solange",281,"CASELLI Eugène",172,"MARTI  Jeanne",94
