"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","VOTANTS","NB_BLANCS","NB_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03","NOM_CANDIDAT_04","NB_VOIX_CANDIDAT_04","NOM_CANDIDAT_05","NB_VOIX_CANDIDAT_05","NOM_CANDIDAT_06","NB_VOIX_CANDIDAT_06","NOM_CANDIDAT_07","NB_VOIX_CANDIDAT_07","NOM_CANDIDAT_08","NB_VOIX_CANDIDAT_08","NOM_CANDIDAT_09","NB_VOIX_CANDIDAT_09","NOM_CANDIDAT_10","NB_VOIX_CANDIDAT_10","NOM_CANDIDAT_11","NB_VOIX_CANDIDAT_11","NOM_CANDIDAT_12","NB_VOIX_CANDIDAT_12","NOM_CANDIDAT_13","NB_VOIX_CANDIDAT_13","NOM_CANDIDAT_14","NB_VOIX_CANDIDAT_14","NOM_CANDIDAT_15","NB_VOIX_CANDIDAT_15","NOM_CANDIDAT_16","NB_VOIX_CANDIDAT_16","NOM_CANDIDAT_17","NB_VOIX_CANDIDAT_17","NOM_CANDIDAT_18","NB_VOIX_CANDIDAT_18","NOM_CANDIDAT_19","NB_VOIX_CANDIDAT_19","NOM_CANDIDAT_20","NB_VOIX_CANDIDAT_20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,101,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1081,1047,365,4,1,360,4,8,"DEVIGNE Arnaud",18,"COMAS Laurent",0,"BARLES Sébastien",34,"CAMARD Sophie",196,"PARODI Clémence",20,"BACCINO René",14,"POITEVIN Gaëtan",34,"BERNASCONI Sabine",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,102,1,1,4,"12 - MARSEILLE 1","E MAT HOTEL DES POSTES","2 PCE DE L'HOTEL DES POSTES",758,737,226,3,0,223,8,8,"DEVIGNE Arnaud",26,"COMAS Laurent",0,"BARLES Sébastien",22,"CAMARD Sophie",82,"PARODI Clémence",20,"BACCINO René",6,"POITEVIN Gaëtan",13,"BERNASCONI Sabine",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,104,1,1,4,"12 - MARSEILLE 1","E MAT PARMENTIER","7 RUE PARMENTIER",889,878,225,3,5,217,12,8,"DEVIGNE Arnaud",9,"COMAS Laurent",1,"BARLES Sébastien",14,"CAMARD Sophie",108,"PARODI Clémence",8,"BACCINO René",6,"POITEVIN Gaëtan",20,"BERNASCONI Sabine",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,121,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1097,1076,335,2,4,329,10,8,"DEVIGNE Arnaud",25,"COMAS Laurent",1,"BARLES Sébastien",41,"CAMARD Sophie",123,"PARODI Clémence",29,"BACCINO René",19,"POITEVIN Gaëtan",29,"BERNASCONI Sabine",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,122,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1275,1248,450,4,6,440,11,8,"DEVIGNE Arnaud",17,"COMAS Laurent",1,"BARLES Sébastien",58,"CAMARD Sophie",265,"PARODI Clémence",22,"BACCINO René",12,"POITEVIN Gaëtan",26,"BERNASCONI Sabine",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,125,1,1,4,"12 - MARSEILLE 1","E ELEM PAIX","56 RUE DE LA PAIX MARCEL PAUL",796,777,308,3,7,298,19,8,"DEVIGNE Arnaud",47,"COMAS Laurent",1,"BARLES Sébastien",32,"CAMARD Sophie",111,"PARODI Clémence",32,"BACCINO René",9,"POITEVIN Gaëtan",7,"BERNASCONI Sabine",59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,126,1,1,4,"12 - MARSEILLE 1","CENTRE D'ANIMATION SENAC","6 - 8 RUE SENAC",1028,1000,467,5,5,457,18,8,"DEVIGNE Arnaud",25,"COMAS Laurent",1,"BARLES Sébastien",62,"CAMARD Sophie",284,"PARODI Clémence",28,"BACCINO René",7,"POITEVIN Gaëtan",17,"BERNASCONI Sabine",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,127,1,1,4,"12 - MARSEILLE 1","E ELEM BARTHELEMY","12 RUE BARTHELEMY",958,934,431,2,10,419,34,8,"DEVIGNE Arnaud",19,"COMAS Laurent",1,"BARLES Sébastien",44,"CAMARD Sophie",265,"PARODI Clémence",24,"BACCINO René",8,"POITEVIN Gaëtan",16,"BERNASCONI Sabine",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,128,1,1,4,"12 - MARSEILLE 1","E ELEM BARTHELEMY","12 RUE BARTHELEMY",1027,1014,470,6,12,452,19,8,"DEVIGNE Arnaud",28,"COMAS Laurent",0,"BARLES Sébastien",48,"CAMARD Sophie",301,"PARODI Clémence",18,"BACCINO René",12,"POITEVIN Gaëtan",11,"BERNASCONI Sabine",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",1,2020-03-15,"MARSEILLE",21130055300031,141,1,1,4,"12 - MARSEILLE 1","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",914,901,273,1,4,268,10,8,"DEVIGNE Arnaud",9,"COMAS Laurent",1,"BARLES Sébastien",25,"CAMARD Sophie",113,"PARODI Clémence",12,"BACCINO René",10,"POITEVIN Gaëtan",44,"BERNASCONI Sabine",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
