"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","NB_VOTANTS","NB_BLANCS_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03","NOM_CANDIDAT_04","NB_VOIX_CANDIDAT_04","NOM_CANDIDAT_05","NB_VOIX_CANDIDAT_05","NOM_CANDIDAT_06","NB_VOIX_CANDIDAT_06","NOM_CANDIDAT_07","NB_VOIX_CANDIDAT_07","NOM_CANDIDAT_08","NB_VOIX_CANDIDAT_08","NOM_CANDIDAT_09","NB_VOIX_CANDIDAT_09","NOM_CANDIDAT_10","NB_VOIX_CANDIDAT_10","NOM_CANDIDAT_11","NB_VOIX_CANDIDAT_11"
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,101,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1054,1054,414,20,394,17,9,"BARLES Sébastien",64,"PELLICANI Christian",48,"RAYNAUD Corinne",2,"TIAN Dominique",100,"BRYA-BERTRAND Somia",6,"MENNUCCI Patrick",126,"AKROUNE Adrien",4,"DEMEESTER Dominique",38,"ABDOURAMANE Saïd",6,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,102,1,1,4,"BELSUNCE","E MAT HOTEL DES POSTES","2 PCE DE L'HOTEL DES POSTES",680,680,331,14,317,25,9,"BARLES Sébastien",19,"PELLICANI Christian",28,"RAYNAUD Corinne",2,"TIAN Dominique",132,"BRYA-BERTRAND Somia",0,"MENNUCCI Patrick",105,"AKROUNE Adrien",2,"DEMEESTER Dominique",21,"ABDOURAMANE Saïd",8,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,104,1,1,4,"BELSUNCE","E MAT PARMENTIER","7 RUE PARMENTIER",793,793,324,12,312,5,9,"BARLES Sébastien",44,"PELLICANI Christian",37,"RAYNAUD Corinne",2,"TIAN Dominique",77,"BRYA-BERTRAND Somia",1,"MENNUCCI Patrick",128,"AKROUNE Adrien",2,"DEMEESTER Dominique",15,"ABDOURAMANE Saïd",6,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,121,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1068,1068,497,19,478,19,9,"BARLES Sébastien",46,"PELLICANI Christian",44,"RAYNAUD Corinne",1,"TIAN Dominique",156,"BRYA-BERTRAND Somia",3,"MENNUCCI Patrick",153,"AKROUNE Adrien",7,"DEMEESTER Dominique",55,"ABDOURAMANE Saïd",13,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,122,1,1,4,"BELSUNCE","PALAIS DE LA BOURSE","9 LA CANEBIERE",1282,1282,581,22,559,11,9,"BARLES Sébastien",68,"PELLICANI Christian",85,"RAYNAUD Corinne",1,"TIAN Dominique",132,"BRYA-BERTRAND Somia",6,"MENNUCCI Patrick",189,"AKROUNE Adrien",8,"DEMEESTER Dominique",50,"ABDOURAMANE Saïd",20,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,125,1,1,4,"BELSUNCE","E ELEM PAIX","56 RUE DE LA PAIX MARCEL PAUL",803,803,449,10,439,17,9,"BARLES Sébastien",30,"PELLICANI Christian",48,"RAYNAUD Corinne",0,"TIAN Dominique",166,"BRYA-BERTRAND Somia",3,"MENNUCCI Patrick",131,"AKROUNE Adrien",2,"DEMEESTER Dominique",50,"ABDOURAMANE Saïd",9,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,126,1,1,4,"BELSUNCE","CENTRE D'ANIMATION SENAC","6 - 8 RUE SENAC",920,920,474,9,465,11,9,"BARLES Sébastien",61,"PELLICANI Christian",85,"RAYNAUD Corinne",2,"TIAN Dominique",93,"BRYA-BERTRAND Somia",4,"MENNUCCI Patrick",170,"AKROUNE Adrien",4,"DEMEESTER Dominique",36,"ABDOURAMANE Saïd",10,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,127,1,1,4,"BELSUNCE","E MAT SAINT VINCENT DE PAUL","12 RUE BARTHELEMY",862,862,441,9,432,12,9,"BARLES Sébastien",45,"PELLICANI Christian",56,"RAYNAUD Corinne",0,"TIAN Dominique",79,"BRYA-BERTRAND Somia",4,"MENNUCCI Patrick",175,"AKROUNE Adrien",3,"DEMEESTER Dominique",61,"ABDOURAMANE Saïd",9,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,128,1,1,4,"BELSUNCE","E MAT SAINT VINCENT DE PAUL","12 RUE BARTHELEMY",1016,1016,556,10,546,16,9,"BARLES Sébastien",66,"PELLICANI Christian",92,"RAYNAUD Corinne",1,"TIAN Dominique",120,"BRYA-BERTRAND Somia",5,"MENNUCCI Patrick",200,"AKROUNE Adrien",3,"DEMEESTER Dominique",50,"ABDOURAMANE Saïd",9,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,141,1,1,4,"GRANDS CARMES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",829,829,357,13,344,10,9,"BARLES Sébastien",35,"PELLICANI Christian",31,"RAYNAUD Corinne",2,"TIAN Dominique",83,"BRYA-BERTRAND Somia",2,"MENNUCCI Patrick",145,"AKROUNE Adrien",2,"DEMEESTER Dominique",33,"ABDOURAMANE Saïd",11,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,142,1,1,4,"GRANDS CARMES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",887,887,383,15,368,7,9,"BARLES Sébastien",44,"PELLICANI Christian",31,"RAYNAUD Corinne",1,"TIAN Dominique",91,"BRYA-BERTRAND Somia",2,"MENNUCCI Patrick",154,"AKROUNE Adrien",6,"DEMEESTER Dominique",20,"ABDOURAMANE Saïd",19,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,181,1,1,4,"CINQ AVENUES","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",1269,1269,619,22,597,16,9,"BARLES Sébastien",45,"PELLICANI Christian",85,"RAYNAUD Corinne",3,"TIAN Dominique",170,"BRYA-BERTRAND Somia",8,"MENNUCCI Patrick",227,"AKROUNE Adrien",9,"DEMEESTER Dominique",38,"ABDOURAMANE Saïd",12,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,182,1,1,4,"CINQ AVENUES","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",837,837,440,12,428,17,9,"BARLES Sébastien",42,"PELLICANI Christian",61,"RAYNAUD Corinne",0,"TIAN Dominique",117,"BRYA-BERTRAND Somia",3,"MENNUCCI Patrick",144,"AKROUNE Adrien",2,"DEMEESTER Dominique",43,"ABDOURAMANE Saïd",16,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,183,1,1,4,"CINQ AVENUES","E ELEM ABEILLES ANNEXE","40 RUE DES ABEILLES",1232,1232,662,17,645,15,9,"BARLES Sébastien",70,"PELLICANI Christian",89,"RAYNAUD Corinne",3,"TIAN Dominique",161,"BRYA-BERTRAND Somia",5,"MENNUCCI Patrick",214,"AKROUNE Adrien",1,"DEMEESTER Dominique",85,"ABDOURAMANE Saïd",17,,,,
"ELECTIONS MUNICIPALES 2014",1,"2014-03-23","MARSEILLE",21130055300016,184,1,1,4,"CINQ AVENUES","E ELEM ABEILLES","ENTREE 11 RUE DES ABEILLES",1228,1228,594,16,578,27,9,"BARLES Sébastien",65,"PELLICANI Christian",71,"RAYNAUD Corinne",5,"TIAN Dominique",139,"BRYA-BERTRAND Somia",2,"MENNUCCI Patrick",204,"AKROUNE Adrien",4,"DEMEESTER Dominique",72,"ABDOURAMANE Saïd",16,,,,
