"NOM_ELECTION","NUMERO_TOUR","DATE_ELECTION","NOM_COLLECTIVITE","ID_COLLECTIVITE","NUMERO_BUREAU_VOTE","ARRONDISSEMENT","SECTEUR","CIRCONSCRIPTION","CANTON","NOM_BUREAU_VOTE","ADRESSE","NB_INSCRIT_THEORIQUE","NB_INSCRITS_DEPOUILLES","VOTANTS","NB_BLANCS","NB_NULS","NB_EXPRIMES","NB_PROCURATIONS","NB_CANDIDATS","NOM_CANDIDAT_01","NB_VOIX_CANDIDAT_01","NOM_CANDIDAT_02","NB_VOIX_CANDIDAT_02","NOM_CANDIDAT_03","NB_VOIX_CANDIDAT_03","NOM_CANDIDAT_04","NB_VOIX_CANDIDAT_04","NOM_CANDIDAT_05","NB_VOIX_CANDIDAT_05","NOM_CANDIDAT_06","NB_VOIX_CANDIDAT_06","NOM_CANDIDAT_07","NB_VOIX_CANDIDAT_07","NOM_CANDIDAT_08","NB_VOIX_CANDIDAT_08","NOM_CANDIDAT_09","NB_VOIX_CANDIDAT_09","NOM_CANDIDAT_10","NB_VOIX_CANDIDAT_10","NOM_CANDIDAT_11","NB_VOIX_CANDIDAT_11","NOM_CANDIDAT_12","NB_VOIX_CANDIDAT_12","NOM_CANDIDAT_13","NB_VOIX_CANDIDAT_13","NOM_CANDIDAT_14","NB_VOIX_CANDIDAT_14","NOM_CANDIDAT_15","NB_VOIX_CANDIDAT_15","NOM_CANDIDAT_16","NB_VOIX_CANDIDAT_16","NOM_CANDIDAT_17","NB_VOIX_CANDIDAT_17","NOM_CANDIDAT_18","NB_VOIX_CANDIDAT_18","NOM_CANDIDAT_19","NB_VOIX_CANDIDAT_19","NOM_CANDIDAT_20","NB_VOIX_CANDIDAT_20"
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,101,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1084,1084,388,7,2,379,21,3,"CAMARD Sophie",296,"PARODI Clémence",19,"BERNASCONI Sabine",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,102,1,1,4,"12 - MARSEILLE 1","E MAT HOTEL DES POSTES","2 PCE DE L'HOTEL DES POSTES",761,761,275,13,0,262,17,3,"CAMARD Sophie",150,"PARODI Clémence",22,"BERNASCONI Sabine",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,104,1,1,4,"12 - MARSEILLE 1","E MAT PARMENTIER","7 RUE PARMENTIER",892,892,247,3,3,241,12,3,"CAMARD Sophie",164,"PARODI Clémence",14,"BERNASCONI Sabine",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,121,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1095,1095,387,3,2,382,21,3,"CAMARD Sophie",270,"PARODI Clémence",37,"BERNASCONI Sabine",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,122,1,1,4,"12 - MARSEILLE 1","PALAIS DE LA BOURSE","9 LA CANEBIERE",1279,1279,479,6,3,470,26,3,"CAMARD Sophie",376,"PARODI Clémence",29,"BERNASCONI Sabine",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,125,1,1,4,"12 - MARSEILLE 1","E ELEM PAIX","56 RUE DE LA PAIX MARCEL PAUL",792,792,340,7,5,328,29,3,"CAMARD Sophie",215,"PARODI Clémence",30,"BERNASCONI Sabine",83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,126,1,1,4,"12 - MARSEILLE 1","CENTRE D'ANIMATION SENAC","6 - 8 RUE SENAC",1029,1029,501,2,5,494,84,3,"CAMARD Sophie",412,"PARODI Clémence",31,"BERNASCONI Sabine",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,127,1,1,4,"12 - MARSEILLE 1","E ELEM BARTHELEMY","12 RUE BARTHELEMY",959,959,453,5,8,440,35,3,"CAMARD Sophie",362,"PARODI Clémence",27,"BERNASCONI Sabine",51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,128,1,1,4,"12 - MARSEILLE 1","E ELEM BARTHELEMY","12 RUE BARTHELEMY",1024,1024,486,6,1,479,32,3,"CAMARD Sophie",397,"PARODI Clémence",19,"BERNASCONI Sabine",63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTIONS MUNICIPALES 2020",2,2020-06-28,"MARSEILLE",21130055300031,141,1,1,4,"12 - MARSEILLE 1","E ELEM KORSEC","ENTREE 3 RUE FRANCOIS BAZIN",919,919,287,5,0,282,11,3,"CAMARD Sophie",181,"PARODI Clémence",19,"BERNASCONI Sabine",82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
